Binary Question,QuestionType,Question,choices,right,info
TRUE,1,THE BIG HORN SHEEP:<br><br>Is found in the mountains?,,TRUE,<br>Would you like to learn more about howwhen and why the American bison became such an important figure in America's history?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/saving-bison-1880s-1910s">Saving the Bison (1880s-1910s)</a>
TRUE,1,THE BIG HORN SHEEP:<br><br>Is very sure footed?,,TRUE,<br>Would you like to visit the first American zoos?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/first-visitors-1875-1910s">The First Visitors (1875-1910s)</a>
FALSE,1,THE BIG HORN SHEEP:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Vegetation (herbivorous)?,<br>Would you like to visit a children's zoo after WWII?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951">Shirley Visits the Zoo (1951)</a>
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>Nibbled leaves and grass?,,TRUE,<br>Would you like to see the zoo through a little' girl's eyes?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951">Shirley Visits the Zoo (1951)</a>
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>Claw marks on trees?,,FALSE,<br>Would you like to learn about the remarkable life of a performing chimpanzee who was chimp-napped?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/chimp-napping-mr-moke-1959-1961">The Chimp-napping of Mr. Moke (1959-61)</a>
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>A broken horn?,,TRUE,<br>What was it like for a performing animal?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/chimp-napping-mr-moke-1959-1961">The Chimp-napping of Mr.Moke (1959-61)</a>
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>A broken honeycomb,,FALSE,<br>When did zoos start breeding programs for their animals?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/my-animal-babies-1940s-1960s">My Animal Babies</a>
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>Uprooted water lilies,,TRUE,<br>What was life like for zoo babies?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/my-animal-babies-1940s-1960s">My Animal Babies</a>
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>Chewed aspen leaves?,,TRUE,<br>What happens when the zookeepers went on strike?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/keepers-go-strike-1940s-1960s">Keepers go on Strike</a>
TRUE,2,Is this a sign of a Big Horn Sheep:<br><br>A mud wallow?,,TRUE,<br>Would you like to visit a children's zoo after WWII?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951">Shirley Visits the Zoo (1951)</a>
FALSE,3,Will you capture by:,Enticing to a corral?/Catching with a hand net?,Enticing to a corral?,<br>How did Americans want captured animals to behave?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/jungle-brawls-1934">Jungle Brawls (1934)</a>
FALSE,4,Standard transport to zoo:,By air?/By ship?/By rail?,By rail?,<br>How did zoos bring large animals from jungles to enclosures?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/rhino-rhino-1948">Rhino Rhino (1948)</a>
